seriesid,studyid,studyid2,pkgid,pubdate,title,authors,corearea,status,top10
other,1,other1,100,2020,"High resolution shrub cover raster maps of the Jornada Basin LTER, including JER and CDRRC (2011)","Ji, Wenjie;Hanan, Niall P.",Land Use and Land Cover Change,,Y
other,1,other1,101,2021,"Thresholds and alternative states in neotropical dry forest in response to fire severity, 2005-2018","Peinetti, H. Raúl;Bestelmeyer, Brandon;Chirino, Claudia C;Vivalda, Florencia L;Kin, Alicia G",Land Use and Land Cover Change,core,
other,1,other1,102,2023,Carbon exchange responses of rehydrated and incubated biological soil crust samples from White Sands National Park in 2020-2022,"Hoellrich, Mikaela;Pietrasiak, Nicole",Land Use and Land Cover Change,,
other,1,other1,103,2023,Gridded 1-hectare estimates of shrub community structure at the Jornada Basin LTER site derived from NAIP (2011) and LiDAR (2019) data,"Roberts, Trevor H;Hanan, Niall P",Land Use and Land Cover Change,core,
jer,021,jer021,200021001,2023,Data to explore circular manureshed management in beef supply chains of the United States and western Canada,"Spiegal, Sheri;Vendramini, João M.B.;Bittman, Shabtai;Silveira, Maria;Gifford, Craig;Rotz, Clarence Al;Ragosta, John P;Kleinman, Peter J.A.",Land Use and Land Cover Change,,
jer,022,jer022,200022001,2022,"Criollo and Crossbred Steer Comparison: Weight Gain, Grazing, Carcass Quality, 2015-2017","McIntosh, Matt M;Cibils, Andres F;Estell, Rick E;Nyamuryekung'e, Shelemia;Spiegal, Sheri;Gonzalez, Alfredo L;Blair, Amanda D",Land Use and Land Cover Change,,
jer,029,jer029,200029001,2022,Baseline survey for beef cattle producers in the Southwest and Southern Plains,"Elias, Emile;Aney, Skye;Duff, Glenn;Gifford, Craig;Spiegal, Sheri;Cibils, Andres F;Steiner, Jean;Auvermann, Brent;Estell, Rick E",Land Use and Land Cover Change,,
jer,030,jer030,200030002,2022,Grass-fed beef producers and retailers map,"Aney, Skye;Elias, Emile;Ramsey, Paige;Cisneros, Joel",Land Use and Land Cover Change,,
jer,034,jer034,200034001,2023,"Supplemental materials of the Castaño-Sánchez et. al. (2023) article (Agricultural Systems) containing the IFSM model input parameters not included in the main text, and the Criollo ranches survey form","Castaño-Sánchez, Jose P.;Rotz, C. Alan;McIntosh, Matt M;Tolle, Cindy;Duff, Glenn;Spiegal, Sheri",Land Use and Land Cover Change,,
jer,043,jer043,200043001,2023,Jornada Experimental Range (USDA-ARS) monthly stocking data and pasture shape files from 1915 to 1952,"Ragosta, John P;Havstad, Kris;Bestelmeyer, Brandon T;James, Darren",Land Use and Land Cover Change,core,
jer,045,jer045,200045001,2022,Manure Cycling Interview Data,"Meredith, Gwendwr R;Spiegal, Sheri;Kleinman, Peter J.A.",Land Use and Land Cover Change,,
jer,046,jer046,200046001,2022,CDRRC growing season aridity and grazing season vegetation biomass data,"Schroeder, Ryan W.R.;McIntosh, Matt M;Lasche, Sophia;Lucero, Jacob;Spiegal, Sheri;Funk, Micah P;Beck, Reldon F;Holechek, Jerry L.;Faist, Akasha M",Land Use and Land Cover Change,,
jer,047,jer047,200047001,2023,Map of ecological sites and ecological states for the USDA Jornada Experimental Range,"Burkett, Laura M;Bestelmeyer, Brandon T",Land Use and Land Cover Change,core,
jer,048,jer048,200048001,2023,"Map of ecological sites and ecological states for pastures 1, 4, 14, and 15 on the Chihuahuan Desert Rangeland Research Center, New Mexico","Burkett, Laura M;Bestelmeyer, Brandon T",Land Use and Land Cover Change,core,
other,2,other2,201,2022,"Long-term climate indices (SPEI and scPDSI) derived from monthly meteorology data collected at USHCN stations in the northern Chihuahuan Desert of the United States, 1911-2021","Hernandez Rosales, Brianda;Maurer, Gregory E.",Disturbance,core,
other,2,other2,202,2022,"Derived SPEI and vapor pressure deficit for 15 NPP study sites on the Jornada Basin, 2013-ongoing","Hernandez , Brianda;Maurer, Gregory E.",Disturbance,core,
prj,001,prj001,210001001,2020,"Plant cover on 2 x 2 meter rainfall runoff plots in grassland and creosotebush communities at the Jornada Basin LTER, 1989-1990","Ward, Tim;Bolton, Susan;Schlesinger, William",Inorganic matter cycling,,
prj,001,prj001,210001002,2019,"Rainfall runoff and sediment deposition from 2 x 2 meter plots in grassland and creosotebush communities at the Jornada Basin LTER, 1982-1994","Ward, Tim",Inorganic matter cycling,,
prj,001,prj001,210001003,2020,"Rainfall runoff water chemistry from 2 x 2 meter plots in grassland and creosotebush communities at the Jornada Basin LTER, 1988-1990","Ward, Tim;Bolton, Susan;Schlesinger, William",Inorganic matter cycling,,
prj,002,prj002,210002001,2023,"Graduated rain gauge (GRG) precipitation observations from 21 sites at the Jornada Basin LTER site, 1989-ongoing","Abrahams, Athol;Whitford, Walter G;Huenneke, Laura F;Lightfoot, David C;Anderson, John;Parsons, Anthony;Wainwright, John",Disturbance,core,
prj,007,prj007,210007001,2022,"Lizard pitfall trap data from 11 NPP study locations at the Jornada Basin LTER site, 1989-2006","Lightfoot, David C;Whitford, Walter G",Populations,,
prj,008,prj008,210008001,2020,"Arthropod pitfall trap data from 12 NPP study locations at the Jornada Basin LTER site, 1996-2001","Lightfoot, David;Whitford, Walter G",Populations,,
prj,008,prj008,210008002,2020,"Arthropod pitfall trap data from 9 NPP study locations at the Jornada Basin LTER site, 1988-1994","Lightfoot, David;Whitford, Walter G",Populations,,
prj,009,prj009,210009001,2023,Occurrence of animals along five transects at the Jornada Basin LTER site from 1989-1994,"Lightfoot, David C;Whitford, Walter G",Populations,,
prj,010,prj010,210010001,2019,"Termite foraging data from bait mass loss at eleven locations at the Jornada Basin LTER site, 1988-2000","Lightfoot, David;Whitford, Walter;Anderson, John",Populations,,
prj,011,prj011,210011001,2023,Seasonal aboveground plant biomass estimates at 15 net primary production (NPP) study sites at Jornada Basin LTER from 1989-ongoing,"Peters, Debra C;Huenneke, Laura F",Primary production,core,
prj,011,prj011,210011002,2023,"Seasonal non-destructive vegetation measurements at 15 net primary production (NPP) study sites at Jornada Basin LTER, 1989-ongoing","Peters, Debra C;Huenneke, Laura F",Primary production,core,
prj,011,prj011,210011003,2023,"Annual mean estimates of aboveground net primary production (NPP) at 15 sites at Jornada Basin LTER, 1989-ongoing","Peters, Debra C;Huenneke, Laura F",Primary production,core,
prj,011,prj011,210011004,2023,"Seasonal reference harvest measurements of vegetation at 15 net primary production (NPP) study sites at Jornada Basin LTER, 1989-ongoing","Peters, Debra C;Huenneke, Laura F",Primary production,core,
prj,011,prj011,210011005,2019,"Annual ground-based photographs taken at 15 net primary production (NPP) study sites at Jornada Basin LTER, 1996-ongoing","Anderson, John",Primary production,core,
prj,012,prj012,210012001,2019,"Raw neutron counts from a soil water content hydroprobe along the LTER-I transects (control and fertilized) at the Jornada Basin LTER, 1986-ongoing","Wierenga, Peter;Virginia, Ross;Duniway, Michael;Vivoni, Enrique",Inorganic matter cycling,core,
prj,012,prj012,210012002,2019,"Soil volumetric water content calculated from neutron hydroprobe data along the LTER-I transects (control and fertilized) at the Jornada Basin LTER, 1986-ongoing","Wierenga, Peter;Virginia, Ross;Duniway, Michael;Vivoni, Enrique",Inorganic matter cycling,core,
prj,013,prj013,210013001,2019,"Raw neutron counts from a soil water content hydroprobe at 15 NPP study sites at the Jornada Basin LTER, 1989-ongoing","Virginia, Ross;Duniway, Mike;Vivoni, Enrique",Inorganic matter cycling,core,
prj,013,prj013,210013002,2019,"Soil volumetric water content calculated from neutron hydroprobe data at 15 NPP study sites at the Jornada Basin LTER, 1989-2011 (Deprecated)","Virginia, Ross;Duniway, Mike",Inorganic matter cycling,core,
prj,013,prj013,210013003,2019,"Soil volumetric water content calculated from neutron hydroprobe data at 15 NPP study sites at the Jornada Basin LTER, 1989-ongoing","Virginia, Ross;Duniway, Mike;Vivoni, Enrique",Inorganic matter cycling,core,
prj,015,prj015,210015001,2021,Biomass of harvested annual and perrenial forbs and grasses along fertilized and unfertilized ecosystem transects at the Jornada Basin LTER site in 1989,"Whitford, Walter G",Primary production,,
prj,015,prj015,210015002,2021,"Nitrogen mineralization potential in soils collected from the Jornada Basin LTER-I transect and extracted at field collection time, 1989","Whitford, Walter G",Inorganic matter cycling,,
prj,015,prj015,210015003,2021,"Nitrogen mineralization potential in soils collected from the Jornada Basin LTER-I transect and extracted at incubation time 0, 1989","Whitford, Walter G",Inorganic matter cycling,,
prj,086,prj086,210086001,2019,"Vegetation cover data from line-intercept transects in the long-term Small Mammal Exclusion Study (SMES) at Jornada Basin LTER, 1995-2005","Lightfoot, David;Bestelmeyer, Brandon",Populations,core,
prj,086,prj086,210086002,2022,"Quadrat vegetation cover data on 1m x 1m plots from the long-term Small Mammal Exclusion Study (SMES) at Jornada Basin LTER, 1995-2020","Lightfoot, David C;Bestelmeyer, Brandon T",Populations,core,
prj,086,prj086,210086003,2019,"Cryptogam crust data from the long-term Small Mammal Exclosure Study (SMES) at Jornada Basin LTER, 1995-2005","Lightfoot, David;Bestelmeyer, Brandon",Populations,,
prj,086,prj086,210086004,2022,"Leaf litter cover data on 1m x 1m plots from the long-term Small Mammal Exclusion Study (SMES) at Jornada Basin LTER, 1995-2020","Lightfoot, David C;Bestelmeyer, Brandon T",Organic matter cycling,,
prj,086,prj086,210086005,2022,"Rabbit feces counts on 1m x 1m plots from the long-term Small Mammal Exclosure Study (SMES) at Jornada Basin LTER, 1995-2020","Lightfoot, David C;Bestelmeyer, Brandon T",Populations,,
prj,086,prj086,210086006,2022,"Rabbit survey data on creosotebush and grassland routes from the long-term Small Mammal Exclusion Study at Jornada Basin LTER, 1996-ongoing","Schooley, Robert;Bestelmeyer, Brandon T;Lightfoot, David C",Populations,core,
prj,086,prj086,210086007,2022,"Soil disturbance cover data on 1m x 1m plots from the long-term Small Mammal Exclusion Study (SMES) at Jornada Basin LTER, 1995-2020","Lightfoot, David C;Bestelmeyer, Brandon T",Disturbance,,
prj,086,prj086,210086008,2019,"Termite casing data from the long-term Small Mammal Exclosure Study (SMES) at Jornada Basin LTER, 1995-2005","Lightfoot, David;Bestelmeyer, Brandon",Populations,,
prj,086,prj086,210086009,2019,"Rodent data from trapping webs in the long-term Small Mammal Exclusion Study (SMES) at Jornada Basin LTER, 1995-2007","Bestelmeyer, Brandon;Lightfoot, David;Schooley, Robert",Populations,core,
prj,119,prj119,210119001,2019,"Percent cover of vegetation measured by the line-intercept method at multiple locations on long-term ecosystem transects (including nitrogen fertilization treatments) at Jornada Basin LTER, 1982-2014","Cunningham, Gary",Land Use and Land Cover Change,,
prj,120,prj120,210120001,2019,"Perennial species canopy cover across grazed/ungrazed fencelines at the Jornada Basin LTER, 1986-ongoing","Whitford, Walter;Anderson, John",Land Use and Land Cover Change,,
prj,120,prj120,210120002,2019,"Canopy cover for 9 perennial plant taxa across grazed/ungrazed fencelines at the Jornada Basin LTER, 1982-ongoing","Whitford, Walter;Anderson, John",Land Use and Land Cover Change,,
prj,121,prj121,210121001,2023,"Plant community responses to functional group and species removals along biodiversity experiment vegetation transects at the Jornada Basin LTER site, 1997-2002","Huenneke, Laura F;Buonopane, Michelle",Populations,,
prj,121,prj121,210121003,2023,Biomass removal at the initiation of a biodiversity experiment at the Jornada Basin LTER site in 1995,"Huenneke, Laura F",Populations,,
prj,121,prj121,210121004,2023,"Plant species-level responses to functional group and species removals in biodiversity experiment plots at the Jornada Basin LTER site, 1999","Huenneke, Laura F;Buonopane, Michelle",Populations,,
prj,121,prj121,210121005,2019,"Daily summary precipitation data from a tipping bucket rain gauge near former Jornada Basin LTER Biodiversity study site, 1996-ongoing","Huenneke, Laura;Rango, Al;Anderson, John",Disturbance,core,
prj,121,prj121,210121006,2021,"The effects of changing vegetative composition on the abundance, species diversity and activity of birds at the Jornada Basin LTER site, 1997","Bogner, Heidi;Huenneke, Laura F",Populations,,
prj,121,prj121,210121008,2019,"High resolution precipitation event data from a tipping bucket gauge near former Jornada Basin LTER Biodiversity study site, 1996-ongoing","Huenneke, Laura;Rango, Al;Anderson, John",Disturbance,,
prj,122,prj122,210122001,2019,"Surface abrasion and crust evolution following vegetation removal at the Jornada Basin LTER Scrape Site, 1995 to 2019","Gillette, Dale;Okin, Greg",Disturbance,,
